,country,age,overall_score,gender,country_id
38145,NZ,32,26,F,172
38146,GB,19,25,F,78
38147,RU,27,25,M,192
38148,GB,19,22,F,78
38149,IN,22,29,M,106
38150,AU,32,34,F,13
38151,US,48,26,F,234
38152,US,42,29,0,234
38153,ZA,56,22,F,248
38154,GR,39,27,F,90
38155,DE,20,25,M,57
38156,GB,16,26,F,78
38157,US,49,37,O,234
38158,GB,26,27,F,78
38159,PH,20,29,F,178
38160,FR,41,30,F,76
38161,IN,20,30,F,106
38162,GB,54,28,F,78
38163,CA,50,24,M,38
38164,GR,19,27,F,90
38165,GR,19,26,F,90
38166,IN,20,26,M,106
38167,US,17,27,M,234
38168,GB,35,28,F,78
38169,PH,32,20,M,178
38170,CA,54,23,F,38
38171,GB,25,25,F,78
38172,US,16,29,F,234
38173,NL,17,27,M,167
38174,RO,27,24,M,190
38175,ZA,46,28,F,248
38176,US,20,29,F,234
38177,GB,50,23,F,78
38178,GB,15,26,F,78
38179,US,20,23,F,234
38180,IN,24,31,F,106
38181,US,20,29,F,234
38182,IQ,32,27,M,108
38183,GB,33,29,M,78
38184,PH,29,27,M,178
38185,CA,18,29,F,38
38186,GB,15,27,F,78
38187,AU,28,26,F,13
38188,US,57,25,F,234
38189,US,13,25,F,234
38190,US,18,28,M,234
38191,US,18,30,F,234
38192,FI,22,28,M,71
38193,US,25,25,M,234
38194,EU,21,26,0,70
38195,US,28,26,F,234
38196,US,48,26,M,234
38197,GB,17,29,M,78
38198,US,39,25,F,234
38199,GB,28,27,F,78
38200,SE,16,29,F,198
38201,GB,35,28,F,78
38202,CA,21,30,F,38
38203,US,42,25,M,234
38204,GB,17,32,F,78
38205,GB,23,33,F,78
38206,SA,23,28,F,194
38207,US,16,25,M,234
38208,US,18,26,F,234
38209,US,21,28,F,234
38210,US,16,25,F,234
38211,BD,21,26,M,19
38212,BD,25,27,F,19
38213,GB,29,24,M,78
38214,US,19,28,F,234
38215,GB,15,31,F,78
38217,US,34,25,F,234
38218,PH,20,29,F,178
38219,GB,18,28,F,78
38220,DK,16,32,F,59
38221,DE,35,25,M,57
38222,GR,22,27,M,90
38223,US,15,26,F,234
38224,PH,20,28,F,178
38225,GB,27,24,F,78
38226,US,18,27,F,234
38227,US,18,24,M,234
38228,US,21,24,F,234
38229,AU,16,27,F,13
38230,LV,20,31,F,136
38231,US,47,24,M,234
38232,CA,48,14,F,38
38233,NO,54,23,M,168
38234,AU,57,24,F,13
38235,US,17,28,M,234
38236,US,45,28,M,234
38237,US,18,25,F,234
38238,CA,51,29,M,38
38239,US,17,25,M,234
38240,GB,21,25,F,78
38241,CA,26,26,F,38
38242,BR,30,26,M,31
38243,TT,24,26,F,227
38244,US,32,31,0,234
38245,US,26,25,F,234
38246,AU,16,28,F,13
38247,AU,18,27,F,13
38248,US,29,23,M,234
38249,US,15,31,F,234
38250,US,22,21,M,234
38251,US,16,27,F,234
38252,US,34,28,M,234
38253,CA,13,29,F,38
38254,US,16,33,M,234
38255,CA,50,25,M,38
38256,MY,23,30,F,159
38257,SG,17,30,F,199
38258,US,18,30,F,234
38259,SG,17,26,F,199
38260,CA,25,27,F,38
38261,US,16,26,M,234
38262,US,20,26,F,234
38263,SE,19,24,M,198
38264,US,58,25,F,234
38265,US,19,26,F,234
38266,US,39,24,F,234
38267,US,18,29,F,234
38268,GB,20,24,M,78
38269,HK,48,22,F,96
